sampleId	population	group	froh_genome	n_roh_genome	het_rate_chr22	rare_burden_chr22	rare_missense_chr22	stat_pc1	stat_pc2	stat_pc3	umap1	umap2	drift_inbreeding_score	functional_burden_score	diversity_score
HG01462	CLM	American	0.002456	2	0.036113	1452	20	-0.0607	-1.1279	0.1048	11.7296	11.5914	-0.2921	-0.34	0.1252
HG01463	UNKNOWN		0.000353	1	0.038422	1539	15	0.0308	-1.3488	-0.5368	12.141	10.434	-0.5487	-0.6589	0.4207
HG01464	CLM	American	0.000787	2	0.041876	2194	26	1.1454	-0.6719	-0.0914	10.3227	10.6824	-0.7582	0.2734	0.7078
HG01465	CLM	American	0.009693	7	0.03544	1269	23	-0.4025	-0.3839	0.4082	9.482	9.8541	0.1073	-0.1843	-0.2479
HG01466	UNKNOWN		0.004877	9	0.034483	1449	17	-0.6656	-0.7131	-0.0235	12.1123	8.5442	0.0486	-0.5464	-0.1241
HG01468	CLM	American	0.023359	15	0.034615	1270	15	-1.4827	0.627	-0.25	7.5788	4.2483	0.8008	-0.7322	-0.9128
HG01474	CLM	American	0.001127	2	0.037898	1229	23	0.1896	-1.0968	0.2266	10.8774	11.648	-0.4646	-0.1953	0.3408
HG01479	CLM	American	0.001453	3	0.040355	2021	30	1.0746	-0.5513	0.4122	9.683	11.2346	-0.6072	0.5003	0.5442
HG01485	CLM	American	0.004877	9	0.04063	2255	21	0.4653	-0.1907	-0.4391	10.4671	9.6717	-0.3868	-0.0526	0.4202
HG01486	CLM	American	0.001488	3	0.038763	1244	25	0.3335	-0.9209	0.2999	10.6285	11.6664	-0.4932	-0.0541	0.4017
HG01488	CLM	American	0.003098	2	0.037174	1389	29	0.4433	-0.8021	0.7558	9.7343	11.7056	-0.345	0.2595	0.1913
HG01489	CLM	American	0.001621	2	0.035388	1492	17	-0.2403	-1.2824	-0.0781	12.9253	11.1632	-0.2697	-0.5347	0.0972
HG01490	UNKNOWN		0.000786	2	0.034777	1400	16	-0.368	-1.4026	-0.0817	13.4759	11.0016	-0.2553	-0.6283	0.0792
HG01491	CLM	American	0.025929	13	0.038149	1348	17	-1.0092	0.8636	-0.4397	6.587	4.2281	0.5991	-0.5739	-0.7112
HG01492	CLM	American	0.000442	1	0.035363	1275	15	-0.3747	-1.5165	-0.1918	13.7226	10.5955	-0.329	-0.7309	0.146
HG01493	UNKNOWN		0.001359	3	0.034319	1285	13	-0.6593	-1.438	-0.2697	14.3933	10.1883	-0.1828	-0.8652	0.0138
HG01494	CLM	American	0.000402	1	0.041075	2183	35	1.5568	-0.5261	0.7371	9.4046	11.2741	-0.7349	0.8871	0.6535
HG01495	CLM	American	0.000529	1	0.037546	1557	27	0.549	-1.0193	0.5351	9.9675	11.6955	-0.4805	0.1682	0.3355
HG01496	UNKNOWN		0.004877	9	0.042836	2185	21	0.6417	-0.1215	-0.6389	10.449	9.7295	-0.5431	-0.0716	0.6156
HG01497	CLM	American	0.004877	9	0.034768	1269	25	-0.3203	-0.508	0.644	9.3273	10.0074	0.0284	-0.0473	-0.0988
HG01498	CLM	American	0.001337	3	0.036779	1381	18	-0.1369	-1.1797	-0.1123	12.2752	11.3123	-0.3578	-0.4964	0.2326
HG01499	UNKNOWN		0.002647	3	0.036289	1266	14	-0.4638	-1.2635	-0.3776	13.5847	10.1349	-0.2778	-0.8018	0.1325
HG01500	IBS	European	0.005095	10	0.037302	1338	18	-0.44	-0.5269	-0.1971	11.4345	8.5781	-0.1233	-0.5081	0.1162
HG01501	IBS	European	0.010208	22	0.034388	1262	15	-1.4359	0.2822	-0.2178	9.5256	4.2166	0.5026	-0.7344	-0.3633
HG01502	UNKNOWN		0.005925	13	0.037016	1345	17	-0.6377	-0.3354	-0.2692	11.2291	7.5945	-0.0137	-0.5747	0.0549
HG01503	IBS	European	0.010505	21	0.034734	1283	16	-1.3168	0.2854	-0.1691	9.4016	4.4255	0.4682	-0.6602	-0.3456
HG01504	IBS	European	0.012899	19	0.031905	1277	17	-1.5231	0.2221	0.1895	9.2667	4.8648	0.7112	-0.5933	-0.6998
HG01505	UNKNOWN		0.005031	11	0.034764	1238	13	-1.0042	-0.7334	-0.3504	13.1667	7.2308	0.0745	-0.878	-0.1059
HG01506	IBS	European	0.011452	19	0.034011	1225	13	-1.5125	0.0915	-0.3301	10.2181	4.3049	0.5118	-0.8815	-0.4506
HG01507	IBS	European	0.010064	19	0.036486	1529	23	-0.6158	0.4612	0.2037	8.1145	6.3962	0.2884	-0.1135	-0.1713
HG01508	UNKNOWN		0.007123	16	0.034608	1174	16	-1.1218	-0.2414	-0.1039	10.8101	5.6761	0.2589	-0.6899	-0.2102
HG01509	IBS	European	0.004319	10	0.033867	1221	13	-1.0441	-0.873	-0.254	13.5135	7.2744	0.0931	-0.8826	-0.1544
HG01510	IBS	European	0.005321	10	0.034642	1401	19	-0.6177	-0.5728	0.1297	11.8196	8.7787	0.073	-0.4224	-0.1292
HG01511	UNKNOWN		0.005319	11	0.034108	1368	20	-0.6674	-0.5105	0.2657	10.346	8.1145	0.1309	-0.3629	-0.1764
HG01512	IBS	European	0.007277	16	0.032117	1354	16	-1.28	-0.2892	0.102	11.008	5.6117	0.4407	-0.6408	-0.4374
HG01513	IBS	European	0.00957	21	0.035756	1481	9	-1.4593	0.109	-0.8806	10.7341	3.8965	0.3634	-1.0858	-0.2146
